area_fips,index,Unnamed: 0,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name,nearest_dist,nearest_location
C1018,0,0,1990,0.51,0.34,0.34,6,48,7932,Texas,512.1576379243769,Houston
C1018,1,1,1991,0.61,0.53,0.26,8,77,5888,Texas,512.1576379243769,Houston
C1018,2,2,1992,0.31,0.36,0.25,4,53,6038,Texas,512.1576379243769,Houston
C1018,3,3,1993,0.3,0.48,0.22,4,69,5537,Texas,512.1576379243769,Houston
C1018,4,4,1994,0.43,0.53,0.26,6,83,6460,Texas,512.1576379243769,Houston
C1018,5,5,1995,0.47,0.5,0.27,7,89,6619,Texas,512.1576379243769,Houston
C1018,6,6,1996,0.39,0.43,0.24,6,83,6546,Texas,512.1576379243769,Houston
C1018,7,7,1997,0.44,0.41,0.26,7,84,7201,Texas,512.1576379243769,Houston
C1018,8,8,1998,0.44,0.57,0.23,7,108,6711,Texas,512.1576379243769,Houston
C1018,9,9,1999,0.39,0.63,0.24,6,121,6891,Texas,512.1576379243769,Houston
C1018,10,10,2000,0.41,0.72,0.19,6,129,5959,Texas,512.1576379243769,Houston
C1018,11,11,2001,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,12,12,2002,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,13,13,2003,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,14,14,2004,0.75,0.0,0.0,9,0,0,Texas,512.1576379243769,Houston
C1018,15,15,2005,0.67,0.72,0.21,8,125,7661,Texas,512.1576379243769,Houston
C1018,16,16,2006,0.66,0.73,0.22,8,128,8178,Texas,512.1576379243769,Houston
C1018,17,17,2007,0.89,0.73,0.21,11,130,8371,Texas,512.1576379243769,Houston
C1018,18,18,2008,0.85,0.69,0.23,10,128,9266,Texas,512.1576379243769,Houston
C1018,19,19,2009,0.85,0.0,0.0,10,0,0,Texas,512.1576379243769,Houston
C1018,20,20,2010,0.85,0.76,0.23,10,137,9762,Texas,512.1576379243769,Houston
C1018,21,21,2011,0.86,0.74,0.23,10,133,10078,Texas,512.1576379243769,Houston
C1018,22,22,2012,0.84,0.73,0.23,10,133,10477,Texas,512.1576379243769,Houston
C1018,23,23,2013,0.83,0.72,0.23,10,133,10419,Texas,512.1576379243769,Houston
C1018,24,24,2014,0.7,0.72,0.22,9,134,10773,Texas,512.1576379243769,Houston
