area_fips,index,Unnamed: 0,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name,nearest_dist,nearest_location
C1018,0,0,1990,0.96,0.74,0.79,15,305,17584,Texas,512.1576379243769,Houston
C1018,1,1,1991,0.85,0.7,0.84,14,288,19495,Texas,512.1576379243769,Houston
C1018,2,2,1992,0.79,0.68,0.83,13,283,20765,Texas,512.1576379243769,Houston
C1018,3,3,1993,0.71,0.64,0.91,12,275,22380,Texas,512.1576379243769,Houston
C1018,4,4,1994,0.68,0.64,0.89,12,274,23417,Texas,512.1576379243769,Houston
C1018,5,5,1995,0.7,0.61,0.97,13,275,26173,Texas,512.1576379243769,Houston
C1018,6,6,1996,0.68,0.57,0.86,13,266,25354,Texas,512.1576379243769,Houston
C1018,7,7,1997,0.57,0.59,0.76,11,280,24370,Texas,512.1576379243769,Houston
C1018,8,8,1998,0.58,0.63,0.73,11,304,26058,Texas,512.1576379243769,Houston
C1018,9,9,1999,0.48,0.65,0.68,9,315,27434,Texas,512.1576379243769,Houston
C1018,10,10,2000,0.54,0.66,0.71,10,316,30100,Texas,512.1576379243769,Houston
C1018,11,11,2001,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,12,12,2002,0.57,0.62,0.85,10,282,34453,Texas,512.1576379243769,Houston
C1018,13,13,2003,0.53,0.62,0.92,9,270,38126,Texas,512.1576379243769,Houston
C1018,14,14,2004,0.55,0.61,1.03,9,261,42258,Texas,512.1576379243769,Houston
C1018,15,15,2005,0.56,0.58,0.94,9,245,40376,Texas,512.1576379243769,Houston
C1018,16,16,2006,0.56,0.0,0.0,9,0,0,Texas,512.1576379243769,Houston
C1018,17,17,2007,0.54,0.0,0.0,9,0,0,Texas,512.1576379243769,Houston
C1018,18,18,2008,0.56,0.0,0.0,9,0,0,Texas,512.1576379243769,Houston
C1018,19,19,2009,0.64,0.0,0.0,10,0,0,Texas,512.1576379243769,Houston
C1018,20,20,2010,0.58,0.44,0.66,9,163,37339,Texas,512.1576379243769,Houston
C1018,21,21,2011,0.59,0.44,0.67,9,159,40259,Texas,512.1576379243769,Houston
C1018,22,22,2012,0.64,0.44,0.62,10,157,39550,Texas,512.1576379243769,Houston
C1018,23,23,2013,0.63,0.46,0.59,10,164,39272,Texas,512.1576379243769,Houston
C1018,24,24,2014,0.61,0.0,0.0,10,0,0,Texas,512.1576379243769,Houston
C1018,25,25,2015,0.64,0.39,0.49,11,135,37282,Texas,512.1576379243769,Houston
C1018,26,26,2016,0.55,0.39,0.5,10,130,38909,Texas,512.1576379243769,Houston
C1018,27,27,2017,0.52,0.36,0.45,10,120,38189,Texas,512.1576379243769,Houston
C1018,28,28,2018,0.48,0.32,0.49,10,109,45609,Texas,512.1576379243769,Houston
C1038,29,29,2004,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,30,30,2005,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,31,31,2006,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,32,32,2007,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,33,33,2008,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,34,34,2009,0.07,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,35,35,2010,0.07,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,36,36,2011,0.07,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,37,37,2012,0.08,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,38,38,2013,0.07,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,39,39,2014,0.07,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,40,40,2015,0.07,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,41,41,2016,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,42,42,2017,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,43,43,2018,0.06,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1042,44,44,2001,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,45,45,2002,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,46,46,2003,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,47,47,2004,0.82,0.0,0.0,62,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,48,48,2005,0.83,0.0,0.0,62,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,49,49,2006,0.87,0.0,0.0,64,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,50,50,2007,0.92,0.0,0.0,68,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,51,51,2008,0.96,0.0,0.0,71,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,52,52,2009,0.96,0.0,0.0,68,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,53,53,2010,1.0,0.7,0.78,68,1248,55267,Ohio,138.50536054329166,Pittsburgh
C1042,54,54,2011,0.99,0.73,0.77,66,1276,57183,Ohio,138.50536054329166,Pittsburgh
C1042,55,55,2012,0.94,0.75,0.73,63,1292,56572,Ohio,138.50536054329166,Pittsburgh
C1042,56,56,2013,0.93,0.75,0.73,62,1254,58051,Ohio,138.50536054329166,Pittsburgh
C1042,57,57,2014,0.94,0.73,0.7,64,1210,59410,Ohio,138.50536054329166,Pittsburgh
C1042,58,58,2015,1.01,0.73,0.67,72,1201,60702,Ohio,138.50536054329166,Pittsburgh
C1042,59,59,2016,1.07,0.74,0.68,80,1208,62881,Ohio,138.50536054329166,Pittsburgh
C1042,60,60,2017,0.96,0.69,0.67,76,1121,66153,Ohio,138.50536054329166,Pittsburgh
C1042,61,61,2018,0.93,0.66,0.65,81,1059,70192,Ohio,138.50536054329166,Pittsburgh
C1050,62,62,1990,0.51,0.44,0.6,7,199,14313,Georgia,235.6877399647292,Atlanta
C1050,63,63,1991,0.42,0.43,0.58,6,191,14855,Georgia,235.6877399647292,Atlanta
C1050,64,64,1992,0.41,0.43,0.59,6,190,16209,Georgia,235.6877399647292,Atlanta
C1050,65,65,1993,0.4,0.44,0.68,6,200,18714,Georgia,235.6877399647292,Atlanta
C1050,66,66,1994,0.45,0.47,0.66,7,224,19517,Georgia,235.6877399647292,Atlanta
C1050,67,67,1995,0.55,0.5,0.71,9,249,21957,Georgia,235.6877399647292,Atlanta
C1050,68,68,1996,0.6,0.43,0.7,10,217,23839,Georgia,235.6877399647292,Atlanta
C1050,69,69,1997,0.47,0.41,0.69,8,208,25111,Georgia,235.6877399647292,Atlanta
C1050,70,70,1998,0.47,0.41,0.6,8,207,25134,Georgia,235.6877399647292,Atlanta
C1050,71,71,1999,0.41,0.42,0.56,7,212,25363,Georgia,235.6877399647292,Atlanta
C1050,72,72,2000,0.48,0.43,0.61,8,219,28513,Georgia,235.6877399647292,Atlanta
C1050,73,73,2001,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,74,74,2002,0.5,0.44,0.58,8,204,26652,Georgia,235.6877399647292,Atlanta
C1050,75,75,2003,0.56,0.42,0.58,9,193,27415,Georgia,235.6877399647292,Atlanta
C1050,76,76,2004,0.58,0.4,0.59,9,175,27674,Georgia,235.6877399647292,Atlanta
C1050,77,77,2005,0.73,0.41,0.52,11,176,25354,Georgia,235.6877399647292,Atlanta
C1050,78,78,2006,0.6,0.43,0.5,9,182,25484,Georgia,235.6877399647292,Atlanta
C1050,79,79,2007,0.59,0.43,0.52,9,178,27826,Georgia,235.6877399647292,Atlanta
C1050,80,80,2008,0.78,0.44,0.49,12,177,27251,Georgia,235.6877399647292,Atlanta
C1050,81,81,2009,0.86,0.48,0.43,13,177,24990,Georgia,235.6877399647292,Atlanta
C1050,82,82,2010,0.82,0.44,0.43,12,155,26470,Georgia,235.6877399647292,Atlanta
C1050,83,83,2011,0.84,0.42,0.44,12,142,28158,Georgia,235.6877399647292,Atlanta
C1050,84,84,2012,0.77,0.38,0.42,11,123,27387,Georgia,235.6877399647292,Atlanta
C1050,85,85,2013,0.84,0.33,0.41,12,104,27945,Georgia,235.6877399647292,Atlanta
C1050,86,86,2014,0.83,0.35,0.36,12,108,26072,Georgia,235.6877399647292,Atlanta
C1050,87,87,2015,0.74,0.31,0.37,11,93,27017,Georgia,235.6877399647292,Atlanta
C1050,88,88,2016,0.64,0.26,0.34,10,78,26418,Georgia,235.6877399647292,Atlanta
C1050,89,89,2017,0.66,0.22,0.33,10,68,26681,Georgia,235.6877399647292,Atlanta
C1050,90,90,2018,0.62,0.17,0.33,10,51,29816,Georgia,235.6877399647292,Atlanta
C1054,91,91,2013,0.69,0.76,0.73,8,169,49828,Oregon,346.9850246782739,Seattle
C1054,92,92,2014,0.65,0.75,0.78,8,166,56998,Oregon,346.9850246782739,Seattle
C1054,93,93,2015,0.67,0.69,0.57,9,156,43830,Oregon,346.9850246782739,Seattle
C1054,94,94,2016,0.83,0.66,0.63,12,152,51516,Oregon,346.9850246782739,Seattle
C1054,95,95,2017,0.83,0.64,0.55,13,147,47896,Oregon,346.9850246782739,Seattle
C1054,96,96,2018,0.84,0.58,0.51,15,137,49059,Oregon,346.9850246782739,Seattle
C1058,97,97,2001,0.0,0.0,0.0,0,0,0,New York,212.9406952517958,Ithaca
C1058,98,98,2002,0.0,0.0,0.0,0,0,0,New York,212.9406952517958,Ithaca
C1058,99,99,2003,0.84,1.09,0.82,76,3326,49399,New York,212.9406952517958,Ithaca
C1058,100,100,2004,0.84,1.07,0.86,76,3184,50154,New York,212.9406952517958,Ithaca
C1058,101,101,2005,0.82,1.11,0.87,74,3226,52546,New York,212.9406952517958,Ithaca
C1058,102,102,2006,0.85,1.05,0.86,76,3012,55127,New York,212.9406952517958,Ithaca
C1058,103,103,2007,0.95,0.0,0.0,86,0,0,New York,212.9406952517958,Ithaca
C1058,104,104,2008,1.03,0.0,0.0,93,0,0,New York,212.9406952517958,Ithaca
C1058,105,105,2009,1.04,0.0,0.0,92,0,0,New York,212.9406952517958,Ithaca
C1058,106,106,2010,0.98,0.0,0.0,85,0,0,New York,212.9406952517958,Ithaca
C1058,107,107,2011,0.91,0.0,0.0,79,0,0,New York,212.9406952517958,Ithaca
C1058,108,108,2012,0.91,0.0,0.0,79,0,0,New York,212.9406952517958,Ithaca
C1058,109,109,2013,0.9,0.0,0.0,80,0,0,New York,212.9406952517958,Ithaca
