area_fips,index,Unnamed: 0,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name,nearest_dist,nearest_location
C1018,0,0,2001,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,1,1,2002,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,2,2,2003,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,3,3,2004,1.05,0.0,0.0,21,0,0,Texas,512.1576379243769,Houston
C1018,4,4,2005,1.18,0.0,0.0,23,0,0,Texas,512.1576379243769,Houston
C1018,5,5,2006,1.24,0.0,0.0,24,0,0,Texas,512.1576379243769,Houston
C1018,6,6,2007,1.33,0.88,1.03,29,426,51487,Texas,512.1576379243769,Houston
C1018,7,7,2008,1.69,0.77,0.99,35,380,50915,Texas,512.1576379243769,Houston
C1018,8,8,2009,1.76,0.71,0.95,37,341,48351,Texas,512.1576379243769,Houston
C1018,9,9,2010,1.71,0.67,1.07,35,297,54991,Texas,512.1576379243769,Houston
C1018,10,10,2011,1.65,0.76,1.03,32,326,55111,Texas,512.1576379243769,Houston
C1018,11,11,2012,1.58,0.82,0.97,30,342,54665,Texas,512.1576379243769,Houston
C1018,12,12,2013,1.68,0.83,0.91,30,344,53133,Texas,512.1576379243769,Houston
C1018,13,13,2014,1.71,0.83,0.9,30,343,54358,Texas,512.1576379243769,Houston
C1018,14,14,2015,1.34,0.0,0.0,21,0,0,Texas,512.1576379243769,Houston
C1018,15,15,2016,1.29,0.0,0.0,20,0,0,Texas,512.1576379243769,Houston
C1018,16,16,2017,1.52,0.81,0.93,23,291,59189,Texas,512.1576379243769,Houston
C1018,17,17,2018,1.62,1.24,1.12,24,432,73702,Texas,512.1576379243769,Houston
C1038,18,18,2001,0.0,0.0,0.0,0,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,19,19,2002,0.33,0.4,1.35,6,167,36866,Puerto Rico,2431.1398437489984,Atlanta
C1038,20,20,2003,0.0,0.0,0.0,0,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,21,21,2004,0.42,0.0,0.0,8,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,22,22,2005,0.54,0.0,0.0,11,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,23,23,2006,0.52,0.0,0.0,11,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,24,24,2007,0.3,0.0,0.0,7,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,25,25,2008,0.28,0.0,0.0,6,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,26,26,2009,0.52,0.35,1.32,10,132,44714,Puerto Rico,2431.1398437489984,Atlanta
C1038,27,27,2010,0.79,0.45,1.25,14,155,42506,Puerto Rico,2431.1398437489984,Atlanta
C1038,28,28,2011,0.81,0.49,1.12,14,164,39041,Puerto Rico,2431.1398437489984,Atlanta
C1038,29,29,2012,0.86,0.55,1.05,14,176,37212,Puerto Rico,2431.1398437489984,Atlanta
C1038,30,30,2013,0.85,0.55,1.04,14,182,37348,Puerto Rico,2431.1398437489984,Atlanta
C1038,31,31,2014,1.02,0.56,1.02,16,181,37133,Puerto Rico,2431.1398437489984,Atlanta
C1038,32,32,2015,0.95,0.58,1.03,13,175,38606,Puerto Rico,2431.1398437489984,Atlanta
C1038,33,33,2016,0.89,0.58,1.01,12,171,38983,Puerto Rico,2431.1398437489984,Atlanta
C1038,34,34,2017,1.06,0.81,1.02,14,228,37965,Puerto Rico,2431.1398437489984,Atlanta
C1038,35,35,2018,0.95,0.84,0.91,12,223,34557,Puerto Rico,2431.1398437489984,Atlanta
C1042,36,36,1990,0.69,0.93,0.95,25,2321,33955,Ohio,138.50536054329166,Pittsburgh
C1042,37,37,1991,0.63,0.89,0.94,28,2178,34756,Ohio,138.50536054329166,Pittsburgh
C1042,38,38,1992,0.78,0.76,0.93,43,1814,37704,Ohio,138.50536054329166,Pittsburgh
C1042,39,39,1993,0.9,0.88,0.92,55,2126,38123,Ohio,138.50536054329166,Pittsburgh
C1042,40,40,1994,0.83,0.86,0.96,55,2118,41015,Ohio,138.50536054329166,Pittsburgh
C1042,41,41,1995,0.89,0.74,0.94,60,1851,40710,Ohio,138.50536054329166,Pittsburgh
C1042,42,42,1996,0.85,0.67,0.93,61,1705,42785,Ohio,138.50536054329166,Pittsburgh
C1042,43,43,1997,0.86,0.64,0.94,65,1740,43478,Ohio,138.50536054329166,Pittsburgh
C1042,44,44,1998,0.79,0.65,0.94,61,1807,46568,Ohio,138.50536054329166,Pittsburgh
C1042,45,45,1999,0.82,0.69,0.88,67,2016,47031,Ohio,138.50536054329166,Pittsburgh
C1042,46,46,2000,0.75,0.69,0.85,64,2158,45926,Ohio,138.50536054329166,Pittsburgh
C1042,47,47,2001,0.83,0.56,0.98,76,1743,50339,Ohio,138.50536054329166,Pittsburgh
C1042,48,48,2002,0.98,0.83,1.01,93,2369,53332,Ohio,138.50536054329166,Pittsburgh
C1042,49,49,2003,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,50,50,2004,0.89,0.56,0.93,82,1405,54701,Ohio,138.50536054329166,Pittsburgh
C1042,51,51,2005,0.89,0.58,0.92,81,1426,55039,Ohio,138.50536054329166,Pittsburgh
C1042,52,52,2006,0.96,0.62,0.94,85,1472,56572,Ohio,138.50536054329166,Pittsburgh
C1042,53,53,2007,0.99,0.63,0.91,97,1578,57147,Ohio,138.50536054329166,Pittsburgh
C1042,54,54,2008,0.99,0.66,0.92,95,1625,58092,Ohio,138.50536054329166,Pittsburgh
C1042,55,55,2009,0.9,0.71,0.92,86,1647,57676,Ohio,138.50536054329166,Pittsburgh
C1042,56,56,2010,1.01,0.73,0.9,90,1566,57780,Ohio,138.50536054329166,Pittsburgh
C1042,57,57,2011,0.98,0.68,0.97,83,1406,63888,Ohio,138.50536054329166,Pittsburgh
C1042,58,58,2012,0.97,0.66,0.95,79,1317,65145,Ohio,138.50536054329166,Pittsburgh
C1042,59,59,2013,1.06,0.66,0.96,80,1286,66702,Ohio,138.50536054329166,Pittsburgh
C1042,60,60,2014,0.96,0.69,0.92,70,1350,65035,Ohio,138.50536054329166,Pittsburgh
C1042,61,61,2015,0.73,0.74,0.88,47,1368,63682,Ohio,138.50536054329166,Pittsburgh
C1042,62,62,2016,0.75,0.78,0.86,48,1403,64769,Ohio,138.50536054329166,Pittsburgh
C1042,63,63,2017,0.87,0.86,0.91,55,1498,68160,Ohio,138.50536054329166,Pittsburgh
C1042,64,64,2018,0.87,0.0,0.0,53,0,0,Ohio,138.50536054329166,Pittsburgh
C1050,65,65,1990,1.66,0.97,1.01,13,498,30436,Georgia,235.6877399647292,Atlanta
C1050,66,66,1991,1.09,0.96,0.99,11,485,31432,Georgia,235.6877399647292,Atlanta
C1050,67,67,1992,1.25,0.94,1.57,15,458,53630,Georgia,235.6877399647292,Atlanta
C1050,68,68,1993,1.31,0.96,0.97,17,474,34159,Georgia,235.6877399647292,Atlanta
C1050,69,69,1994,1.15,0.92,1.04,16,474,37903,Georgia,235.6877399647292,Atlanta
C1050,70,70,1995,1.02,0.94,0.94,15,494,35003,Georgia,235.6877399647292,Atlanta
C1050,71,71,1996,1.11,0.96,0.93,17,523,36615,Georgia,235.6877399647292,Atlanta
C1050,72,72,1997,1.0,0.78,0.95,16,447,37418,Georgia,235.6877399647292,Atlanta
C1050,73,73,1998,0.98,0.84,0.83,16,486,34377,Georgia,235.6877399647292,Atlanta
C1050,74,74,1999,0.93,0.9,0.74,16,537,33288,Georgia,235.6877399647292,Atlanta
C1050,75,75,2000,1.08,0.73,0.77,19,462,34956,Georgia,235.6877399647292,Atlanta
C1050,76,76,2001,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,77,77,2002,1.08,0.82,0.88,21,463,39941,Georgia,235.6877399647292,Atlanta
C1050,78,78,2003,1.08,0.81,0.82,21,429,38130,Georgia,235.6877399647292,Atlanta
C1050,79,79,2004,1.21,0.87,0.84,23,429,41922,Georgia,235.6877399647292,Atlanta
C1050,80,80,2005,1.09,0.88,0.84,20,417,42611,Georgia,235.6877399647292,Atlanta
C1050,81,81,2006,1.16,1.12,0.77,21,509,39240,Georgia,235.6877399647292,Atlanta
C1050,82,82,2007,1.14,1.03,0.74,23,494,39379,Georgia,235.6877399647292,Atlanta
C1050,83,83,2008,1.15,0.97,0.9,23,458,48367,Georgia,235.6877399647292,Atlanta
C1050,84,84,2009,1.28,0.95,0.99,26,434,54205,Georgia,235.6877399647292,Atlanta
C1050,85,85,2010,1.4,0.79,0.88,27,331,48891,Georgia,235.6877399647292,Atlanta
C1050,86,86,2011,1.32,0.7,0.9,24,282,51389,Georgia,235.6877399647292,Atlanta
C1050,87,87,2012,1.21,0.7,0.88,21,268,51227,Georgia,235.6877399647292,Atlanta
C1050,88,88,2013,1.24,0.7,0.91,20,259,53564,Georgia,235.6877399647292,Atlanta
C1050,89,89,2014,1.42,0.86,0.86,22,312,51216,Georgia,235.6877399647292,Atlanta
