area_fips,index,Unnamed: 0,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name,nearest_dist,nearest_location
C1018,0,0,2006,0.59,0.0,0.0,1,0,0,Texas,512.1576379243769,Houston
C1042,1,1,2001,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,2,2,2002,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,3,3,2003,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,4,4,2004,0.9,0.0,0.0,6,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,5,5,2005,1.0,0.0,0.0,7,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,6,6,2006,1.15,0.0,0.0,9,0,0,Ohio,138.50536054329166,Pittsburgh
C1050,7,7,2001,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,8,8,2002,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,9,9,2003,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,10,10,2004,0.73,0.0,0.0,1,0,0,Georgia,235.6877399647292,Atlanta
C1050,11,11,2005,0.7,0.0,0.0,1,0,0,Georgia,235.6877399647292,Atlanta
C1050,12,12,2006,0.62,0.0,0.0,1,0,0,Georgia,235.6877399647292,Atlanta
C1058,13,13,2001,0.0,0.0,0.0,0,0,0,New York,212.9406952517958,Ithaca
C1058,14,14,2002,0.0,0.0,0.0,0,0,0,New York,212.9406952517958,Ithaca
C1058,15,15,2003,0.88,0.82,0.93,7,80,62221,New York,212.9406952517958,Ithaca
C1058,16,16,2004,1.01,0.0,0.0,8,0,0,New York,212.9406952517958,Ithaca
C1058,17,17,2005,1.07,0.76,0.88,9,77,62770,New York,212.9406952517958,Ithaca
C1058,18,18,2006,0.84,0.39,0.74,8,43,55270,New York,212.9406952517958,Ithaca
C1074,19,19,2001,0.0,0.0,0.0,0,0,0,New Mexico,554.2286815044923,Boulder
C1074,20,20,2002,0.0,0.0,0.0,0,0,0,New Mexico,554.2286815044923,Boulder
C1074,21,21,2003,0.0,0.0,0.0,0,0,0,New Mexico,554.2286815044923,Boulder
C1074,22,22,2004,0.56,0.0,0.0,4,0,0,New Mexico,554.2286815044923,Boulder
C1074,23,23,2005,0.27,0.0,0.0,2,0,0,New Mexico,554.2286815044923,Boulder
C1074,24,24,2006,0.35,0.0,0.0,3,0,0,New Mexico,554.2286815044923,Boulder
C1078,25,25,2001,0.0,0.0,0.0,0,0,0,Louisiana,321.92870518015786,Houston
C1078,26,26,2002,0.0,0.0,0.0,0,0,0,Louisiana,321.92870518015786,Houston
C1078,27,27,2003,0.0,0.0,0.0,0,0,0,Louisiana,321.92870518015786,Houston
C1090,28,28,1999,0.87,0.31,0.68,3,19,43497,Pennsylvania,79.73630621576494,Princeton
C1090,29,29,1999,0.87,0.31,0.68,3,19,43497,New Jersey,79.73630621576494,Princeton
C1090,30,30,2000,0.72,0.36,0.64,5,41,43492,Pennsylvania,79.73630621576494,Princeton
C1090,31,31,2000,0.72,0.36,0.64,5,41,43492,New Jersey,79.73630621576494,Princeton
C1090,32,32,2001,0.0,0.0,0.0,0,0,0,Pennsylvania,79.73630621576494,Princeton
C1090,33,33,2001,0.0,0.0,0.0,0,0,0,New Jersey,79.73630621576494,Princeton
C1090,34,34,2002,0.0,0.0,0.0,0,0,0,Pennsylvania,79.73630621576494,Princeton
C1090,35,35,2002,0.0,0.0,0.0,0,0,0,New Jersey,79.73630621576494,Princeton
C1090,36,36,2003,0.0,0.0,0.0,0,0,0,Pennsylvania,79.73630621576494,Princeton
C1090,37,37,2003,0.0,0.0,0.0,0,0,0,New Jersey,79.73630621576494,Princeton
C1090,38,38,2004,1.01,0.0,0.0,7,0,0,Pennsylvania,79.73630621576494,Princeton
C1090,39,39,2004,1.01,0.0,0.0,7,0,0,New Jersey,79.73630621576494,Princeton
C1090,40,40,2005,0.68,0.0,0.0,5,0,0,Pennsylvania,79.73630621576494,Princeton
C1090,41,41,2005,0.68,0.0,0.0,5,0,0,New Jersey,79.73630621576494,Princeton
C1090,42,42,2006,0.48,0.26,0.75,4,22,53937,Pennsylvania,79.73630621576494,Princeton
C1090,43,43,2006,0.48,0.26,0.75,4,22,53937,New Jersey,79.73630621576494,Princeton
C1102,44,44,2001,0.0,0.0,0.0,0,0,0,Pennsylvania,139.43504071793149,Pittsburgh
C1102,45,45,2002,0.0,0.0,0.0,0,0,0,Pennsylvania,139.43504071793149,Pittsburgh
C1102,46,46,2003,0.0,0.0,0.0,0,0,0,Pennsylvania,139.43504071793149,Pittsburgh
C1102,47,47,2004,0.82,0.0,0.0,1,0,0,Pennsylvania,139.43504071793149,Pittsburgh
C1102,48,48,2005,0.77,0.0,0.0,1,0,0,Pennsylvania,139.43504071793149,Pittsburgh
C1102,49,49,2006,0.69,0.0,0.0,1,0,0,Pennsylvania,139.43504071793149,Pittsburgh
C1110,50,50,2004,0.0,0.0,0.0,0,0,0,Texas,606.8889166423003,Boulder
C1110,51,51,2005,0.44,0.0,0.0,1,0,0,Texas,606.8889166423003,Boulder
C1110,52,52,2006,0.77,0.0,0.0,2,0,0,Texas,606.8889166423003,Boulder
C1118,53,53,2001,0.0,0.0,0.0,0,0,0,Iowa,283.8230483840295,Lincoln
C1118,54,54,2002,0.0,0.0,0.0,0,0,0,Iowa,283.8230483840295,Lincoln
C1118,55,55,2003,0.0,0.0,0.0,0,0,0,Iowa,283.8230483840295,Lincoln
C1126,56,56,2001,0.73,0.32,0.54,3,16,39425,Alaska,2348.4055338652342,Seattle
C1126,57,57,2002,0.0,0.0,0.0,0,0,0,Alaska,2348.4055338652342,Seattle
C1126,58,58,2003,0.86,0.42,0.42,3,15,29082,Alaska,2348.4055338652342,Seattle
C1126,59,59,2004,0.58,0.0,0.0,2,0,0,Alaska,2348.4055338652342,Seattle
C1126,60,60,2005,0.81,0.29,0.64,3,11,48505,Alaska,2348.4055338652342,Seattle
C1126,61,61,2006,0.71,0.29,0.66,3,12,51195,Alaska,2348.4055338652342,Seattle
C1130,62,62,2001,0.0,0.0,0.0,0,0,0,,,
C1130,63,63,2002,0.0,0.0,0.0,0,0,0,,,
C1130,64,64,2003,0.0,0.0,0.0,0,0,0,,,
C1130,65,65,2004,1.08,0.0,0.0,1,0,0,,,
C1130,66,66,2005,1.06,0.0,0.0,1,0,0,,,
C1130,67,67,2006,0.96,0.0,0.0,1,0,0,,,
C1134,68,68,2001,0.0,0.0,0.0,0,0,0,,,
C1146,69,69,2001,0.99,0.18,0.39,4,12,30840,Michigan,9.252507045692038,Ann Arbor
C1146,70,70,2002,1.39,0.19,0.46,5,10,36813,Michigan,9.252507045692038,Ann Arbor
C1146,71,71,2003,2.26,0.49,0.9,7,22,70463,Michigan,9.252507045692038,Ann Arbor
C1146,72,72,2004,1.98,0.0,0.0,6,0,0,Michigan,9.252507045692038,Ann Arbor
C1146,73,73,2005,1.58,0.6,0.98,5,28,81459,Michigan,9.252507045692038,Ann Arbor
C1146,74,74,2006,1.7,0.7,0.93,6,35,79821,Michigan,9.252507045692038,Ann Arbor
C1150,75,75,2003,0.0,0.0,0.0,0,0,0,Alabama,133.10191933881762,Atlanta
C1150,76,76,2004,1.05,0.0,0.0,1,0,0,Alabama,133.10191933881762,Atlanta
C1150,77,77,2005,1.0,0.0,0.0,1,0,0,Alabama,133.10191933881762,Atlanta
C1150,78,78,2006,0.9,0.0,0.0,1,0,0,Alabama,133.10191933881762,Atlanta
C1154,79,79,2006,0.4,0.0,0.0,1,0,0,Wisconsin,288.60392689450833,Argonne
C1170,80,80,2001,0.0,0.0,0.0,0,0,0,North Carolina,257.7584470496271,Atlanta
C1170,81,81,2002,0.0,0.0,0.0,0,0,0,North Carolina,257.7584470496271,Atlanta
C1170,82,82,2003,0.0,0.0,0.0,0,0,0,North Carolina,257.7584470496271,Atlanta
C1170,83,83,2004,0.73,0.0,0.0,3,0,0,North Carolina,257.7584470496271,Atlanta
C1170,84,84,2005,0.68,0.0,0.0,3,0,0,North Carolina,257.7584470496271,Atlanta
C1170,85,85,2006,0.78,0.23,0.35,4,10,20285,North Carolina,257.7584470496271,Atlanta
C1202,86,86,2001,0.0,0.0,0.0,0,0,0,Georgia,110.43413501475223,Atlanta
C1202,87,87,2002,0.0,0.0,0.0,0,0,0,Georgia,110.43413501475223,Atlanta
C1202,88,88,2003,0.0,0.0,0.0,0,0,0,Georgia,110.43413501475223,Atlanta
C1202,89,89,2004,1.21,0.0,0.0,2,0,0,Georgia,110.43413501475223,Atlanta
C1202,90,90,2005,2.26,0.0,0.0,4,0,0,Georgia,110.43413501475223,Atlanta
C1202,91,91,2006,1.5,0.0,0.0,3,0,0,Georgia,110.43413501475223,Atlanta
C1206,92,92,1990,1.04,0.55,0.69,9,128,19730,Georgia,6.890451611689224,Atlanta
C1206,93,93,1991,1.45,0.62,0.71,12,130,21742,Georgia,6.890451611689224,Atlanta
C1206,94,94,1992,1.54,0.87,0.7,12,153,22303,Georgia,6.890451611689224,Atlanta
C1206,95,95,1993,1.6,0.96,0.78,12,164,25612,Georgia,6.890451611689224,Atlanta
C1206,96,96,1994,1.22,0.6,0.84,9,110,28030,Georgia,6.890451611689224,Atlanta
C1206,97,97,1995,1.13,0.37,0.91,9,74,32511,Georgia,6.890451611689224,Atlanta
C1206,98,98,1996,0.94,0.29,0.97,9,72,37035,Georgia,6.890451611689224,Atlanta
C1206,99,99,1997,1.05,0.53,1.3,12,149,56902,Georgia,6.890451611689224,Atlanta
C1206,100,100,1998,1.1,0.71,0.78,15,201,51321,Georgia,6.890451611689224,Atlanta
C1206,101,101,1999,1.05,0.71,1.04,25,306,76596,Georgia,6.890451611689224,Atlanta
C1206,102,102,2000,0.91,1.02,0.93,43,819,74814,Georgia,6.890451611689224,Atlanta
C1206,103,103,2001,0.0,0.0,0.0,0,0,0,Georgia,6.890451611689224,Atlanta
C1206,104,104,2002,1.34,1.57,1.04,73,892,79864,Georgia,6.890451611689224,Atlanta
C1206,105,105,2003,1.41,1.11,1.02,71,552,76446,Georgia,6.890451611689224,Atlanta
C1206,106,106,2004,1.35,1.13,0.98,67,559,76752,Georgia,6.890451611689224,Atlanta
C1206,107,107,2005,1.19,1.2,1.01,63,644,81706,Georgia,6.890451611689224,Atlanta
C1206,108,108,2006,0.98,0.99,1.08,59,589,90372,Georgia,6.890451611689224,Atlanta
C1210,109,109,2001,0.0,0.0,0.0,0,0,0,New Jersey,97.8611946293987,Princeton
C1210,110,110,2002,0.0,0.0,0.0,0,0,0,New Jersey,97.8611946293987,Princeton
C1210,111,111,2003,1.23,0.51,0.94,3,17,57934,New Jersey,97.8611946293987,Princeton
C1210,112,112,2004,1.24,0.0,0.0,3,0,0,New Jersey,97.8611946293987,Princeton
C1210,113,113,2005,1.55,0.0,0.0,4,0,0,New Jersey,97.8611946293987,Princeton
C1210,114,114,2006,1.36,0.0,0.0,4,0,0,New Jersey,97.8611946293987,Princeton
C1226,115,115,2001,0.0,0.0,0.0,0,0,0,Georgia,224.93776164000985,Atlanta
C1226,116,116,2001,0.0,0.0,0.0,0,0,0,South Carolina,224.93776164000985,Atlanta
C1226,117,117,2002,0.0,0.0,0.0,0,0,0,Georgia,224.93776164000985,Atlanta
C1226,118,118,2002,0.0,0.0,0.0,0,0,0,South Carolina,224.93776164000985,Atlanta
C1226,119,119,2003,0.0,0.0,0.0,0,0,0,Georgia,224.93776164000985,Atlanta
C1226,120,120,2003,0.0,0.0,0.0,0,0,0,South Carolina,224.93776164000985,Atlanta
C1226,121,121,2004,0.51,0.0,0.0,2,0,0,Georgia,224.93776164000985,Atlanta
C1226,122,122,2004,0.51,0.0,0.0,2,0,0,South Carolina,224.93776164000985,Atlanta
C1226,123,123,2005,0.47,0.0,0.0,2,0,0,Georgia,224.93776164000985,Atlanta
C1226,124,124,2005,0.47,0.0,0.0,2,0,0,South Carolina,224.93776164000985,Atlanta
C1226,125,125,2006,0.21,0.0,0.0,1,0,0,Georgia,224.93776164000985,Atlanta
C1226,126,126,2006,0.21,0.0,0.0,1,0,0,South Carolina,224.93776164000985,Atlanta
C1242,127,127,1992,1.69,0.17,0.63,3,8,17303,Texas,228.31519893806083,Houston
C1242,128,128,1996,3.35,0.66,0.63,8,47,22048,Texas,228.31519893806083,Houston
C1242,129,129,1997,2.75,0.26,1.06,8,21,43399,Texas,228.31519893806083,Houston
C1242,130,130,1998,2.89,0.41,0.57,10,34,38239,Texas,228.31519893806083,Houston
C1242,131,131,1999,2.72,0.77,0.61,16,99,46854,Texas,228.31519893806083,Houston
C1242,132,132,2000,2.13,1.3,0.76,26,320,63590,Texas,228.31519893806083,Houston
C1242,133,133,2001,0.0,0.0,0.0,0,0,0,Texas,228.31519893806083,Houston
C1242,134,134,2002,0.0,0.0,0.0,0,0,0,Texas,228.31519893806083,Houston
C1242,135,135,2003,2.16,1.35,0.85,27,201,61883,Texas,228.31519893806083,Houston
C1242,136,136,2004,2.13,1.36,1.02,27,202,78252,Texas,228.31519893806083,Houston
C1242,137,137,2005,1.97,0.84,1.36,27,139,107913,Texas,228.31519893806083,Houston
C1242,138,138,2006,1.88,0.87,1.29,30,162,106858,Texas,228.31519893806083,Houston
C1254,139,139,2001,0.0,0.0,0.0,0,0,0,California,325.9246521213335,San Diego
C1254,140,140,2002,0.0,0.0,0.0,0,0,0,California,325.9246521213335,San Diego
C1254,141,141,2003,0.0,0.0,0.0,0,0,0,California,325.9246521213335,San Diego
