area_fips,index,Unnamed: 0,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name,nearest_dist,nearest_location
C1018,0,0,2001,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,1,1,2002,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,2,2,2003,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,3,3,2004,0.98,0.0,0.0,10,0,0,Texas,512.1576379243769,Houston
C1018,4,4,2005,0.83,0.0,0.0,8,0,0,Texas,512.1576379243769,Houston
C1018,5,5,2006,0.72,0.67,0.59,7,121,31632,Texas,512.1576379243769,Houston
C1018,6,6,2007,0.81,0.77,0.64,5,98,33188,Texas,512.1576379243769,Houston
C1018,7,7,2008,0.49,0.0,0.0,3,0,0,Texas,512.1576379243769,Houston
C1018,8,8,2009,0.64,1.17,0.57,4,142,31542,Texas,512.1576379243769,Houston
C1018,9,9,2010,0.46,0.0,0.0,3,0,0,Texas,512.1576379243769,Houston
C1018,10,10,2011,0.46,0.0,0.0,3,0,0,Texas,512.1576379243769,Houston
C1018,11,11,2012,0.46,0.0,0.0,3,0,0,Texas,512.1576379243769,Houston
C1018,12,12,2013,0.59,0.0,0.0,4,0,0,Texas,512.1576379243769,Houston
C1018,13,13,2014,0.69,1.73,0.55,5,231,37789,Texas,512.1576379243769,Houston
C1018,14,14,2015,0.77,0.0,0.0,6,0,0,Texas,512.1576379243769,Houston
C1018,15,15,2016,0.47,0.47,0.84,4,66,64489,Texas,512.1576379243769,Houston
C1018,16,16,2017,0.44,0.46,0.89,4,67,72992,Texas,512.1576379243769,Houston
C1018,17,17,2018,0.4,0.0,0.0,4,0,0,Texas,512.1576379243769,Houston
C1038,18,18,2001,0.0,0.0,0.0,0,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,19,19,2002,0.0,0.0,0.0,0,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,20,20,2003,0.0,0.0,0.0,0,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,21,21,2004,0.2,0.0,0.0,2,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,22,22,2005,0.2,0.0,0.0,2,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,23,23,2006,0.19,0.0,0.0,2,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,24,24,2007,0.15,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,25,25,2008,0.16,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,26,26,2009,0.18,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,27,27,2012,0.18,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,28,28,2013,0.32,0.0,0.0,2,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,29,29,2014,0.31,0.0,0.0,2,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,30,30,2015,0.29,0.0,0.0,2,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,31,31,2016,0.14,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,32,32,2017,0.12,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,33,33,2018,0.12,0.0,0.0,1,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1042,34,34,1990,0.89,0.64,0.85,17,429,24860,Ohio,138.50536054329166,Pittsburgh
C1042,35,35,1991,0.82,0.66,0.84,16,465,26300,Ohio,138.50536054329166,Pittsburgh
C1042,36,36,1992,0.9,0.66,0.8,19,473,27715,Ohio,138.50536054329166,Pittsburgh
C1042,37,37,1993,0.97,0.61,0.83,22,450,29514,Ohio,138.50536054329166,Pittsburgh
C1042,38,38,1994,0.97,0.6,0.89,23,458,32827,Ohio,138.50536054329166,Pittsburgh
C1042,39,39,1995,0.87,0.61,0.8,22,500,30967,Ohio,138.50536054329166,Pittsburgh
C1042,40,40,1996,0.76,0.57,0.75,22,497,31686,Ohio,138.50536054329166,Pittsburgh
C1042,41,41,1997,0.83,0.65,0.75,28,605,32246,Ohio,138.50536054329166,Pittsburgh
C1042,42,42,1998,0.75,0.59,0.83,29,574,40248,Ohio,138.50536054329166,Pittsburgh
C1042,43,43,1999,0.73,0.51,0.66,33,547,36475,Ohio,138.50536054329166,Pittsburgh
C1042,44,44,2000,0.6,0.26,0.51,34,323,31225,Ohio,138.50536054329166,Pittsburgh
C1042,45,45,2001,0.0,0.0,0.0,0,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,46,46,2002,0.89,0.41,0.67,50,439,37408,Ohio,138.50536054329166,Pittsburgh
C1042,47,47,2003,1.08,0.52,0.64,55,508,37813,Ohio,138.50536054329166,Pittsburgh
C1042,48,48,2004,1.17,0.48,0.68,55,451,44057,Ohio,138.50536054329166,Pittsburgh
C1042,49,49,2005,1.18,0.0,0.0,53,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,50,50,2006,1.24,0.46,0.68,55,428,46885,Ohio,138.50536054329166,Pittsburgh
C1042,51,51,2007,1.08,0.61,0.79,30,399,51148,Ohio,138.50536054329166,Pittsburgh
C1042,52,52,2008,0.99,0.68,0.82,28,430,54009,Ohio,138.50536054329166,Pittsburgh
C1042,53,53,2009,1.03,0.75,0.8,29,437,54693,Ohio,138.50536054329166,Pittsburgh
C1042,54,54,2010,0.96,0.72,0.74,27,412,52000,Ohio,138.50536054329166,Pittsburgh
C1042,55,55,2011,1.05,0.81,0.73,30,469,52872,Ohio,138.50536054329166,Pittsburgh
C1042,56,56,2012,1.13,0.81,0.75,32,482,56069,Ohio,138.50536054329166,Pittsburgh
C1042,57,57,2013,1.11,1.02,0.72,32,623,55254,Ohio,138.50536054329166,Pittsburgh
C1042,58,58,2014,0.99,0.95,0.72,30,606,58126,Ohio,138.50536054329166,Pittsburgh
C1042,59,59,2015,0.9,0.0,0.0,29,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,60,60,2016,0.88,0.0,0.0,31,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,61,61,2017,0.97,0.0,0.0,37,0,0,Ohio,138.50536054329166,Pittsburgh
C1042,62,62,2018,1.08,0.86,0.73,45,630,76930,Ohio,138.50536054329166,Pittsburgh
C1050,63,63,2001,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,64,64,2002,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,65,65,2003,0.0,0.0,0.0,0,0,0,Georgia,235.6877399647292,Atlanta
C1050,66,66,2004,0.21,0.0,0.0,2,0,0,Georgia,235.6877399647292,Atlanta
C1050,67,67,2005,0.33,0.0,0.0,3,0,0,Georgia,235.6877399647292,Atlanta
C1050,68,68,2006,0.22,0.0,0.0,2,0,0,Georgia,235.6877399647292,Atlanta
C1050,69,69,2007,0.35,0.0,0.0,2,0,0,Georgia,235.6877399647292,Atlanta
C1050,70,70,2008,0.51,0.0,0.0,3,0,0,Georgia,235.6877399647292,Atlanta
C1050,71,71,2009,0.33,0.0,0.0,2,0,0,Georgia,235.6877399647292,Atlanta
C1050,72,72,2010,0.49,0.0,0.0,3,0,0,Georgia,235.6877399647292,Atlanta
C1050,73,73,2011,0.49,0.0,0.0,3,0,0,Georgia,235.6877399647292,Atlanta
C1050,74,74,2012,0.67,0.0,0.0,4,0,0,Georgia,235.6877399647292,Atlanta
C1050,75,75,2013,0.82,0.0,0.0,5,0,0,Georgia,235.6877399647292,Atlanta
C1050,76,76,2014,0.63,0.22,0.68,4,26,46350,Georgia,235.6877399647292,Atlanta
C1050,77,77,2015,0.74,0.26,0.64,5,32,45170,Georgia,235.6877399647292,Atlanta
C1050,78,78,2016,0.55,0.0,0.0,4,0,0,Georgia,235.6877399647292,Atlanta
C1050,79,79,2017,0.69,0.0,0.0,5,0,0,Georgia,235.6877399647292,Atlanta
C1050,80,80,2018,0.38,0.0,0.0,3,0,0,Georgia,235.6877399647292,Atlanta
C1054,81,81,2013,0.6,0.0,0.0,3,0,0,Oregon,346.9850246782739,Seattle
C1054,82,82,2014,0.18,0.0,0.0,1,0,0,Oregon,346.9850246782739,Seattle
C1054,83,83,2015,0.16,0.0,0.0,1,0,0,Oregon,346.9850246782739,Seattle
C1054,84,84,2016,0.15,0.0,0.0,1,0,0,Oregon,346.9850246782739,Seattle
C1054,85,85,2017,0.13,0.0,0.0,1,0,0,Oregon,346.9850246782739,Seattle
C1054,86,86,2018,0.12,0.0,0.0,1,0,0,Oregon,346.9850246782739,Seattle
C1058,87,87,1990,1.36,2.1,0.64,34,2040,19499,New York,212.9406952517958,Ithaca
C1058,88,88,1991,1.19,2.04,0.57,31,2038,18752,New York,212.9406952517958,Ithaca
C1058,89,89,1992,1.14,3.46,0.38,30,3483,13658,New York,212.9406952517958,Ithaca
C1058,90,90,1993,1.15,3.53,0.36,31,3607,13269,New York,212.9406952517958,Ithaca
C1058,91,91,1994,1.3,3.35,0.31,37,3437,12008,New York,212.9406952517958,Ithaca
